"","x"
"14",455.822060179365
"153",476.840415723745
"19-30",464.917022881569
"19-40",457.892548822395
"barcode01",475.778727684184
"barcode02",495.917022881569
"barcode13",410.552845528455
"barcode14",490.568686614701
"barcode25",304.870170145
"barcode26",429.449417483866
"barcode37",453.676724499204
"barcode49",286.150448411701
"barcode61",172.532310787025
"barcode73",428.852485122789
"barcode85",478.306093370212
"COW",423.618891962115
"GOAT",92.1279021037633
"RADDL3-1045",488.577151957087
"RADDL3-15-172",442.912161595843
"RADDL3-16-468",424.999329477831
"RADDL3-845",286.029502975442
"Z-12-012",456.600452602464
"Z-13-032",288.189003436426
"Z-13-094",469.01391333501
"Z-13-096",477.021205263599
"Z-14-033",482.730869164362
"Z-14-136",468.722739083061
"Z-14-182",415.259827340541
"Z-15-001",372.365518397452
"Z-16-082",420.471879976532
"Z-16-151",497.910150029335
"Z-16-209",372.788366440365
"Z-16-210",474.820551504484
"Z-16-211",478.717793982064
