,x
rabv_ea,1
barcode01/ARTIC/medaka KX148260,2
barcode37/ARTIC/medaka KX148260,2
barcode73/ARTIC/medaka KX148260,2
barcode49/ARTIC/medaka KX148260,2
RADDL3-15-172/ARTIC/medaka KX148260,2
RADDL3-16-468/ARTIC/medaka KX148260,2
RADDL3-845/ARTIC/medaka KX148260,2
Z-14-033/ARTIC/medaka KX148260,2
Z-14-182/ARTIC/medaka KX148260,2
Z-16-151/ARTIC/medaka KX148260,2
barcode02/ARTIC/medaka KX148260,3
barcode26/ARTIC/medaka KX148260,4
barcode14/ARTIC/medaka KX148260,4
barcode13/ARTIC/medaka KX148260,4
Z-14-136/ARTIC/medaka KX148260,4
Z-16-210/ARTIC/medaka KX148260,4
Z-16-211/ARTIC/medaka KX148260,4
barcode85/ARTIC/medaka KX148260,5
Z-13-032/ARTIC/medaka KX148260,5
barcode61/ARTIC/medaka KX148260,6
Z-13-096/ARTIC/medaka KX148260,6
barcode25/ARTIC/medaka KX148260,7
14/ARTIC/medaka KX148260,8
153/ARTIC/medaka KX148260,8
19-30/ARTIC/medaka KX148260,8
19-40/ARTIC/medaka KX148260,8
COW/ARTIC/medaka KX148260,9
GOAT/ARTIC/medaka KX148260,9
Z-13-094/ARTIC/medaka KX148260,9
RADDL3-1045/ARTIC/medaka KX148260,10
Z-12-012/ARTIC/medaka KX148260,11
Z-15-001/ARTIC/medaka KX148260,11
Z-16-082/ARTIC/medaka KX148260,11
Z-16-209/ARTIC/medaka KX148260,12
