read_name,read_len,start_time,barcode,best_reference,ref_len,start_coords,end_coords,num_matches,mapping_len,display_name
1d6961c4-c48f-4a45-bb7e-5eb7e9e9f654,1247,2023-05-08T19:57:58.611556+01:00,barcode07,?,11923,0,0,385,390,?
c48e8c74-c74c-4160-8b73-a26c15db65db,478,2023-05-08T19:58:55.611556+01:00,barcode07,rabv_ea,11923,4643,5012,344,361,RABV_EA
676289dc-d843-4bff-a1df-162743c8e0df,513,2023-05-08T19:58:42.611556+01:00,barcode07,rabv_ea,11923,6424,6816,365,373,RABV_EA
9f7f47db-5ad4-4477-ae22-03c9cae1b006,838,2023-05-08T19:58:05.611556+01:00,barcode07,?,11923,0,0,365,374,?
a175028c-44a6-4ca4-9aa5-a338db26a8d0,852,2023-05-08T19:58:43.611556+01:00,barcode07,?,11923,0,0,398,405,?
6aa076a0-1d89-4121-b058-0865f8363aad,933,2023-05-08T19:58:40.611556+01:00,barcode07,?,11923,0,0,377,382,?
81ad8113-43a1-4fbf-b3eb-96f544818449,532,2023-05-08T19:58:00.611556+01:00,barcode07,rabv_ea,11923,5201,5608,391,397,RABV_EA
6cf51b42-a010-4a4a-9a3a-159d5b4e6ac4,861,2023-05-08T19:57:58.611556+01:00,barcode07,?,11923,0,0,387,393,?
b6d0ce3f-caad-4b99-b79b-a7dd34cdde23,528,2023-05-08T19:58:24.611556+01:00,barcode07,rabv_ea,11923,1552,1958,377,390,RABV_EA
00ba85d0-9c64-4c77-8a0a-b89d8281783f,517,2023-05-08T19:58:44.611556+01:00,barcode07,rabv_ea,11923,7706,8081,359,367,RABV_EA
29b1f91b-2cb8-4ba8-a1e6-45991f6afa7f,442,2023-05-08T19:58:24.611556+01:00,barcode07,rabv_ea,11923,1566,1943,338,353,RABV_EA
27770fbf-a163-4431-aec0-a43c2ad3fc2f,458,2023-05-08T19:58:02.611556+01:00,barcode07,rabv_ea,11923,1566,1958,361,379,RABV_EA
3db37a57-49a1-46e0-bb41-db8f94c1bb26,519,2023-05-08T19:58:54.611556+01:00,barcode07,rabv_ea,11923,10164,10576,376,393,RABV_EA
08382c39-0129-4f91-89a2-d55b88835747,464,2023-05-08T19:58:06.611556+01:00,barcode07,rabv_ea,11923,5217,5608,362,375,RABV_EA
021e90c1-d0f0-44bb-ae2b-075a5aaf2da6,1245,2023-05-08T19:58:00.611556+01:00,barcode07,?,11923,0,0,366,379,?
23fd4f25-f329-48e0-a620-c1d5309d00e3,591,2023-05-08T19:58:44.611556+01:00,barcode07,rabv_ea,11923,7690,7998,293,300,RABV_EA
95f5655f-bac4-47ad-929e-0c515dac45bc,869,2023-05-08T19:58:56.611556+01:00,barcode07,?,11923,0,0,359,375,?
194bff47-c835-48c0-b64d-0d6a4def98b1,517,2023-05-08T19:58:22.611556+01:00,barcode07,rabv_ea,11923,7690,8080,379,385,RABV_EA
5d8e4262-1402-43e8-864b-6307e876caf4,463,2023-05-08T19:58:06.611556+01:00,barcode07,rabv_ea,11923,1563,1958,381,392,RABV_EA
8ac04088-7372-4f58-8b63-b5ddeb8264d1,450,2023-05-08T19:58:20.611556+01:00,barcode07,rabv_ea,11923,1565,1958,362,369,RABV_EA
b7ec407f-c32e-4cde-9205-31d7ea35fa97,1056,2023-05-08T19:58:56.611556+01:00,barcode07,?,11923,0,0,336,349,?
b3870709-4418-4788-b757-1b9e01c2dde3,1684,2023-05-08T19:58:17.611556+01:00,barcode07,?,11923,0,0,298,308,?
bd0a13d2-c740-4619-9eba-3f23b69a23cf,755,2023-05-08T19:58:20.611556+01:00,barcode07,rabv_ea,11923,57,459,376,388,RABV_EA
d42c1842-3637-4c05-8057-60b98314a226,472,2023-05-08T19:58:15.611556+01:00,barcode07,rabv_ea,11923,5234,5600,336,350,RABV_EA
9ef89a8a-d19e-461d-9e10-4f57d0f4a374,855,2023-05-08T19:59:05.611556+01:00,barcode07,rabv_ea,11923,956,1958,741,766,RABV_EA
841ebe85-eedf-4776-b02d-0b93d85674f4,452,2023-05-08T19:58:54.611556+01:00,barcode07,rabv_ea,11923,10172,10562,337,356,RABV_EA
3fd99565-0556-40be-b5f6-ab7934bf50ea,868,2023-05-08T19:58:06.611556+01:00,barcode07,?,11923,0,0,395,401,?
8f4f24a1-9684-44c5-82a1-d3765e42cd65,1322,2023-05-08T19:58:05.611556+01:00,barcode07,?,11923,0,0,363,377,?
a21e67d4-5000-4013-9bc8-4215fc5b5bd9,851,2023-05-08T19:58:51.611556+01:00,barcode07,?,11923,0,0,371,385,?
f5a2dc52-5bb5-4be4-b656-8b6bb631afb6,513,2023-05-08T19:58:19.611556+01:00,barcode07,rabv_ea,11923,1561,1957,383,390,RABV_EA
b3a82916-198f-424a-a789-3160d47729d4,508,2023-05-08T19:58:53.611556+01:00,barcode07,rabv_ea,11923,9851,10263,355,366,RABV_EA
7663108a-d1ea-4aea-85f3-82a4af86b725,470,2023-05-08T19:58:58.611556+01:00,barcode07,rabv_ea,11923,10172,10562,364,378,RABV_EA
f02c377a-2a96-4c66-8167-c1d624932d2f,514,2023-05-08T19:58:15.611556+01:00,barcode07,rabv_ea,11923,10164,10576,388,399,RABV_EA
e040bd05-e75e-4c41-9128-e01b049fe1b9,446,2023-05-08T19:58:13.611556+01:00,barcode07,?,11923,0,0,254,274,?
07928eec-3151-4a04-98cf-622f9944743e,528,2023-05-08T19:58:14.611556+01:00,barcode07,rabv_ea,11923,7690,8081,368,384,RABV_EA
12fc5512-da89-45ad-9ff5-b195b8971895,887,2023-05-08T19:59:00.611556+01:00,barcode07,?,11923,0,0,381,386,?
7c4171b5-89e4-4c14-9456-b13c852420dc,450,2023-05-08T19:58:21.611556+01:00,barcode07,rabv_ea,11923,5836,6223,357,369,RABV_EA
f0bb9832-6701-4ae6-b1e1-d2bc19f2f52f,542,2023-05-08T19:59:02.611556+01:00,barcode07,rabv_ea,11923,10164,10575,389,400,RABV_EA
129ae885-2d2c-4b70-b7f9-e84bb550a083,1334,2023-05-08T19:58:25.611556+01:00,barcode07,?,11923,0,0,384,393,?
f8c12ce9-796d-4c7b-a960-08c14280a1db,855,2023-05-08T19:58:23.611556+01:00,barcode07,?,11923,0,0,372,377,?
f2517b94-4814-494c-92be-c6da97389e82,422,2023-05-08T19:58:22.611556+01:00,barcode07,rabv_ea,11923,10164,10502,316,332,RABV_EA
5cce261f-ebb1-43d1-958e-84f17e624d66,860,2023-05-08T19:58:14.611556+01:00,barcode07,?,11923,0,0,371,381,?
efa21316-f460-4969-91fc-f55a57884d07,532,2023-05-08T19:58:55.611556+01:00,barcode07,rabv_ea,11923,10164,10574,354,374,RABV_EA
5a3183ad-d129-4e44-9240-f097e4b59a97,514,2023-05-08T19:59:07.611556+01:00,barcode07,rabv_ea,11923,7693,8081,367,379,RABV_EA
5e196aa1-846a-4339-8b17-69abb3386f21,927,2023-05-08T19:58:49.611556+01:00,barcode07,?,11923,0,0,385,403,?
cf1bc2e7-fc3f-4a8a-86bf-670cd7e7eea3,467,2023-05-08T19:59:02.611556+01:00,barcode07,rabv_ea,11923,3383,3774,381,386,RABV_EA
e9ebad1f-13ce-4c24-b01f-55773eb7792b,851,2023-05-08T19:59:03.611556+01:00,barcode07,?,11923,0,0,369,385,?
